place Aylesbury 51.82204584 -0.794950482925515
place Oxford 51.74861226 -1.250663193
place Didcot 51.61072805 -1.241923623
place Newbury 51.39947905 -1.319608692
place Wellingford 51.48089109 -1.088495601
place Pangbourne 51.5974 -1.1336
place Reading 51.4542091 -0.981629822
place Henley-on-Thames 51.53649458 -0.915646312
place High-Wycombe 51.63243199 -0.743768086
place Maidenhead 51.52501681 -0.727260015
place Slough 51.51414046 -0.576745184
place Bracknell 51.4149252 -0.754449783


link Didcot Oxford 21.4
link Didcot Wallingford 9.5
link Didcot Newbury 27.2
link Reading Pangbourne 10.3
link Reading Henley-on-Thames 13.8
link Reading Maidenhead 21.3
link Reading Bracknell 18.8
link High-Wycombe Aylesbury 24.4
link High-Wycombe Henley-on-Thames 20
link High-Wycombe Maidenhead 15.8
link Slough Maidenhead 11.3
link Henley-on-Thames Maidenhead 14
link Henley-on-Thames Wallingford 21.7
link Wallingford Pangbourne 16.7
link Newbury Pangbourne 22.1
